num,title,link,content
243,"푸르덴셜생명, ‘금융 온라인 매거진’ 오픈",http://news.heraldcorp.com/view.php?ud=20200820000258,푸르덴셜생명은 금융 라이프스타일 매거진인 ‘BETTER TOMORROW(BT)’ 사이트를 오픈했다고 20일 밝혔다. BT는 다양한 사람들의 라이프스타일을 소개하고 그들만의 유익한 금융 정보를 전달하겠다는 취지로 만들어졌다....
244,"Sh수협은행, 착한 금융상품 릴레이 가입 붐",http://www.joseilbo.com/news/news_read.php?uid=404423&class=51&grp=,Sh수협은행은 지난 19일 부산항만공사 남기찬 사장이 해양쓰레기 저감활동을 지원하는 공익상품 Sh해양플라스틱제로(Zero)예?적금에 가입했다고 20일 밝혔다. 부산항만공사 본사에서 진행된 이날 상품가입행사에는...
245,"홍남기 ""제2 금융권 DSR 잘 안 지켜져…보완 필요""",http://www.newsis.com/view/?id=NISX20200820_0001136459&cID=10401&pID=10400,"20일 ""제2 금융권 현장에서 총부채원리금상환비율(DSR) 규제가 정확하게 시행되지 않은 측면을 봤다. 보완할 필요가 있다""고 말했다. 홍 부총리는 이날 국회에서 열린 기획재정위원회 전체 회의에 참석해 ""금융 당국이..."
246,"금감원, 집중호우 피해지역 6곳서 금융상담 지원",http://www.hani.co.kr/arti/economy/finance/958357.html,"금융감독원은 오는 20일부터 27일까지 집중호우 피해지역 6곳을 방문해 대출 연장이나 보험금 청구 등에 관한 종합 금융 상담을 제공한다고 19일 밝혔다. 금감원과 서민금융통합지원센터, 주요 은행 및 보험사 직원으로..."
247,"""삼성페이는 절대 포기못해""…한국인 '최애' 금융앱 1위",https://www.hankyung.com/economy/article/202008191793i,금융 앱 사용자수에서 압도적 1위를 차지했다. 간편송금 업체 토스만 20대들 사이에서 1위에 올랐을 뿐이다. 앱 분석업체 와이즈앱은 국내 안드로이드 스마트폰 사용자가 7월 한 달 간 가장 많이 사용한 금융 분야...
248,11월부터 年 2000만원 이하 임대·금융소득에 건보료 매긴다,https://view.asiae.co.kr/article/2020081918004170974,올해 11월부터 연 2000만원이 넘지 않는 주택임대소득이나 금융소득에 대해서도 건강보험료가 부과된다.... 근로소득 외에도 사업ㆍ금융소득에 대해서도 보다 투명히 파악해 형평성을 높이기 위한 방향이다. 2000만원...
249,"농협상호금융, '다같이(多가치) 동행 예금'출시",http://www.joongdo.co.kr/web/view.php?key=20200820010006128,이성희 농협중앙회장은 20일 서울 영등포농협(조합장 이정택)을 찾아 최근 수도권 코로나 확산에 따른 일선 금융창구와 경제사업장(하나로마트)의 코로나 방역상태를 점검하고 농협상호금융에서 출시한 '다같이...
250,"쿠콘, 마이데이터 금융사 위한 통합금융 오픈 API 플랫폼 제공",https://zdnet.co.kr/view/?no=20200821103334,"비즈니스 정보제공 전문 기업 쿠콘은 마이데이터 사업 시행에 대응하려는 금융회사를 대상으로 통합금융 오픈API 플랫폼 구축 사업을 진행 중이라고 21일 밝혔다. 데이터3법(개인정보보호법, 정보통신망법..."
251,"쿠콘, 마이데이터 금융사 위한 통합금융 오픈 API 플랫폼 제공",https://zdnet.co.kr/view/?no=20200821103334,"비즈니스 정보제공 전문 기업 쿠콘은 마이데이터 사업 시행에 대응하려는 금융회사를 대상으로 통합금융 오픈API 플랫폼 구축 사업을 진행 중이라고 21일 밝혔다. 데이터3법(개인정보보호법, 정보통신망법..."
252,"KB금융 노조협의회, 회장 3연임 반대 목소리 높여",http://www.ddaily.co.kr/news/article.html?no=200377,"?KB금융그룹 노동조합협의회(이하 ‘KB노협’)는 20일 오전 서울 여의도 KB국민은행 본점 앞에서 기자회견을... KB노협은 “윤종규 회장이 KB금융 최고경영자로 있던 6년간 친인척 채용비리, 노조 선거 개입, 극단적..."
253,"몸집 불리는 ‘서울핀테크랩’, 비대면 금융산업 집중 육성",http://news.kmib.co.kr/article/view.asp?arcid=0924152454&code=11131400&cp=nv,서울시 ‘핀테크(기술과 금융) 스타트업’ 육성기관 ‘서울핀테크랩’의 몸집이 크게 불어난다. 기존... 포스트 코로나 시대 비대면 금융산업 육성에 속도를 낸다는 취지다. 서울핀테크랩이 확장되면 입주가능 기업이...
254,"농협상호금융, '다같이(多가치) 동행 예금' 출시",http://www.sisaon.co.kr/news/articleView.html?idxno=117055,ⓒ농협중앙회 이성희 농협중앙회장은 20일 서울 영등포농협을 찾아 최근 수도권 코로나 확산에 따른 일선 금융창구와 경제사업장(하나로마트)의 코로나 방역상태를 점검하고 농협상호금융에서 출시한 '다같이(多가치)...
255,"기업은행, 소상공인 2차 금융지원 대출금리 연2.8%로 인하",http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202008200133&t=NN,"IBK기업은행이 인터넷·모바일뱅킹에서 실행되는 '소상공인 2차 금융지원 대출'의 최고 금리를 기존 연 3~4%대... 기업은행은 지난 6월 인터넷·모바일뱅킹에서 '소상공인 2차 금융지원 대출'의 대출 신청, 보증서 발급..."
256,"[마켓인사이트]신한금융지주, 두산 계열 VC 네오플럭스 730억원에 인수",https://www.hankyung.com/finance/article/202008209040u,≪이 기사는 08월20일(17:50) 자본시장의 혜안 ‘마켓인사이트’에 게재된 기사입니다≫ 신한금융지주가 약 730억원에 두산그룹의 벤처캐피털(VC) 자회사인 네오플럭스를 인수한다. 신한금융지주가 대형 VC인...
257,"윤종규 KB금융 회장, 차세대 리더들과 두 번째 'e-소통라이브' 시간 가져",http://www.techholic.co.kr/news/articleView.html?idxno=193125,"KB금융그룹(회장 윤종규)은 지난 12일에 이어, 19일 CEO와 그룹 MZ세대 직원들이 함께 유튜브 생중계를 통해... 이 날 행사에는 지난 회차에 아쉽게 참가하지 못했던 주니어보드 활동 직원 등 다양한 MZ세대 직원들이 KB금융..."
258,"푸르덴셜생명, 금융 매거진 'BETTER TOMORROW’ 사이트 오픈",http://www.ekn.kr/news/article.html?no=518309,푸르덴셜생명이 금융 라이프스타일 매거진 사이트를 공개했다. 푸르덴셜생명은 20일 ‘베러 투모로우(BETTER... ‘베러 투모로우(이하 BT)’는 다양한 사람들의 라이프스타일을 소개하고 그들만의 유익한 금융 정보를...
259,"CU, 금융보안원 통해 '편의점 빅데이터' 판다 ""업계 최초""",http://news.tf.co.kr/read/economy/1808038.htm,"BGF사옥에서 금융보안원과 '편의점 데이터 유통 및 활용 혁신을 위한 업무협약'을 체결했다고 밝혔다. 협약식에는 이건준 BGF리테일 사장, 송지택 BGF리테일 혁신부문장, 김영기 금융보안원장, 김영전 보안전략본부장 등..."
260,"하나은행,얼굴인증 모바일 금융 앱 출시",http://www.gvalley.co.kr/news/articleView.html?idxno=572999,"하나은행(은행장 지성규)은 얼굴인증 기술 기반의 모바일 금융서비스 앱 '뉴 하나원큐'를 출시한다고 20일... 뉴 하나원큐는 하나금융그룹 관계사들과의 연계를 통해 주식 거래, 보험 진단, 카드 거래 등 다양한 금융 거래를..."
261,"(주)두산, 자회사 네오플럭스 신한금융에 매각 '매각대금 730억원'",https://news.chosun.com/site/data/html_dir/2020/08/20/2020082003146.html?utm_source=naver&utm_medium=original&utm_campaign=news,㈜두산이 자회사인 밴처캐피털(VC) 네오플럭스를 신한금융지주에 매각하는 계약을 체결했다고 20일 밝혔다. ㈜두산은 이날 이사회를 열고 “네오플럭스 지분 96.77%를 신한금융지주에 매각하고 대금 730억원을 받기로...
262,"하나은행, 모바일금융 앱 '뉴 하나원큐' 출시",http://www.kbanker.co.kr/news/articleView.html?idxno=92934,"뉴 하나원큐 앱 실행 화면.(사진=하나은행) 하나은행은 새로운 모바일금융 앱 '뉴 하나원큐'를 출시하고... 아울러 뉴 하나원큐는 하나금융그룹 관계사들과의 연계를 통해 주식 거래, 보험 진단, 카드 거래 등 다양한 금융..."
263,"부동산 금융에 쏠린 자금 2105조…장혜영 ""리스크 살펴야""",https://www.news1.kr/articles/?4031548,부동산 금융에 몰린 돈이 2105조원에 달하는 것으로 나타났다. 20일 국회 기획재정위원회 소속 장혜영 정의당 의원이 한국은행으로부터 제출받은 자료에 따르면 부동산 금융 익스포저(위험노출액) 잔액은 올해...
264,"대부금융업계, 수해 복구 지원 성금 3000만원 기부",https://www.news1.kr/articles/?4031560,"한국대부금융협회는 20일 엠에이치파이낸스대부, 에이원대부캐피탈, 한빛자산관리대부 등 22개 주요... 임승보 한국대부금융협회장은 ""집중 호우로 실의에 빠진 수재민들에게 작게나마 힘을 보태고자 회원사들과 뜻을..."
265,"신한카드, 글로벌 자동차금융 확대 전략 '시동'",http://www.econovill.com/news/articleView.html?idxno=408809,"자동차 금융 제휴 협약(MOU)을 체결했다고 20일 밝혔다. 양사는 베이세노프 다우렌(Beisenov Dauren) 비펙 알마티... 자동차 금융, 신용 대출 등 소매 대출 상품을 취급하고 있다. 2019년 말 기준 누적 취급액 447억원, 자산..."
266,"금융보안원, 금융기관 데이터 전문기관 업무 시작",http://www.datanet.co.kr/news/articleView.html?idxno=149799,"금융보안원은 개정 신용정보법에 따라 금융위원회로부터 금융분야 첫 데이터 전문기관으로 6일 지정받아 데이터(정보집합물) 결합, 개인정보의 익명 처리 적정성 평가 등 데이터 전문기관 업무를 실시했다고 21일 밝혔다...."
267,"금융보안원-BGF리테일, 금융-소비유통 데이터 생태계 조성을 위한 MOU",http://www.boannews.com/media/view.asp?idx=90585&kind=,"BGF리테일, 지역·연령·시간대·상품별 매출 등 소비유통 분야 데이터 상품 17건 금융데이터거래소 등록[보안뉴스 ] 금융데이터거래소(FinDX) 운영기관인 금융보안원(원장 김영기)은 8월 19일(수), BGF리테일(대표이사..."
268,"금융CEO 연임 행진, KB-하나-산은도 이어갈까",https://www.donga.com/news/article/all/20200819/102560718/1,"올해 임기가 끝나는 금융지주 최고경영자(CEO)들의 연임 여부에 관심이 쏠리고 있다. 조용병 신한금융지주 회장과 손태승 우리금융지주 회장은 3월 연임에 성공했고, 윤종규 KB금융지주 회장은 3연임에 도전한다. 이미..."
269,우리금융-KT '맞손'…마이 데이터·페이먼트 공동 대응,https://cnbc.sbs.co.kr/article_hub/10000993370?division=NAVER,"우리금융그룹과 KT그룹이 금융과 정보통신기술(ICT)을 융합한 협력 체계 구축에 본격 나섭니다. 우리금융그룹은 서울 중구 우리은행 본점에서 손태승 우리금융 회장과 구현모 KT 대표이사, 권광석 우리은행장과 이동면..."
270,"KB금융 윤종규 회장,?차세대 리더들과 두번째?'e-소통라이브'?가져",http://www.smedaily.co.kr/news/articleView.html?idxno=93836,?KB금융그룹은 지난?12일에 이어 19일?CEO와 그룹?MZ세대 직원들이 함께 유튜브 생중계를 통해 격의 없는... 이날 행사에는 지난 회차에 아쉽게 참가하지 못했던 주니어보드 활동 직원 등 다양한?MZ세대 직원들이?KB금융...
271,"KB금융 윤종규 회장,?차세대 리더들과 두번째?'e-소통라이브'?가져",http://www.smedaily.co.kr/news/articleView.html?idxno=93836,?KB금융그룹은 지난?12일에 이어 19일?CEO와 그룹?MZ세대 직원들이 함께 유튜브 생중계를 통해 격의 없는... 이날 행사에는 지난 회차에 아쉽게 참가하지 못했던 주니어보드 활동 직원 등 다양한?MZ세대 직원들이?KB금융...
272,"하나은행, 모바일금융 앱 '뉴 하나원큐' 출시…얼굴인증 서비스 도입",https://www.dailian.co.kr/news/view/913619/?sc=Naver,하나은행은 세상의 모든 금융을 담은 모바일금융 앱 '뉴 하나원큐'를 출시하고 평생 이체수수료 면제 등 다양한 손님 이벤트를 실시한다고 20일 밝혔다. 이번에 선보인 뉴 하나원큐는 기존의 계좌이체와 해외송금...
273,주택금융공사 공채 응시 20대 확진…같은 고사실 10명 조사,http://www.edaily.co.kr/news/newspath.asp?newsid=02079526625869616,한국주택금융공사 공채 시험장서 시험을 본 20대가 신종 코로나바이러스 감염증(코로나19) 확진 판정을 받았다. 21일 한국주택금융공사와 서울 영등포구청 등에 따르면 지난 15일 실시된 공사 공채 시험에서 서울...
274,"데이터 경제 시동··· 금융보안원, 데이터전문기관 업무 본격화",http://www.ddaily.co.kr/news/article.html?no=200426,금융보안원이 신한카드의 금융 데이터와 SK텔레콤의 통신 데이터 결합을 포함한 3건의 데이터 결합을 진행하고 있다고 21일 밝혔다. 이는 금융권 첫 데이터 결합 사례다. 금융보안원은 개정 신용정보법 실행 이후 지난 6일...
275,"KB저축은행, '키위뱅크' 금융 전산화 결정판",http://www.kpinews.co.kr/news/articleView.html?idxno=124060,?KB저축은행이?대출 시스템 전 과정을?비대면으로 구현한 금융 전산화의 결정판 '키위뱅크(kiwi bank)'를 선보이며 고객중심 '디지털 전환'?선두에 섰다. 21일 금융권에 따르면 지난달 KB저축은행은 모바일뱅킹...
276,"신한금융, 두산 자회사 '네오플럭스' 730억원에 인수",http://www.shinailbo.co.kr/news/articleView.html?idxno=1311509,신한금융이?두산 그룹의?전문 벤처캐피탈 자회사인 네오플럭스를 730억원에 인수한다. 신한금융지주는 지난 20일 두산과 '네오플럭스'의 주식매매계약(SPA)을 체결했다고 21일 밝혔다. 이번 체결에 앞서 양사는 각각...
277,"금감원, 남원·곡성 등 폭우 피해지역 금융지원 상담",https://cnbc.sbs.co.kr/article_hub/10000993395?division=NAVER,"금융감독원이 집중호우 피해 지역에 방문해 주민들과 중소기업을 대상으로 종합적인 금융상담을 제공하기로 했습니다. 금감원은 이달 20일부터 27일 사이 금융사랑방버스를 이용해 남원과 곡성, 구례, 하동, 충주, 철원을..."
278,"전북은행, 도내 거주 외국인 노동자에 금융 지원 확대",https://www.news1.kr/articles/?4032069,"JB금융지주 전북은행이 서울과 수도권을 중심으로 진행해왔던 외국인 노동자 금융 지원을 전북까지 확대했다. 전북은행 따뜻한 금융클리닉 전주센터는 20일 도내 체류 외국인 중 F-5(영주권자), F-6(결혼이민자), E-9..."
279,"신한카드, 글로벌 자동차금융 확대전략 시동",http://www.m-i.kr/news/articleView.html?idxno=739391,"자동차 금융 제휴 협약(MOU)을 체결했다고 20일 밝혔다. 양사는 베이세노프 다우렌(Beisenov Dauren) 비펙... 자동차 금융, 신용 대출 등 소매 대출 상품을 취급하고 있다. 2019년 말 기준 누적 취급액 447억원, 자산 225억원..."
280,CEO와 직원들 참여한 KB금융 'e-소통라이브',http://yna.kr/PYH20200821028200013?did=1196m,KB금융그룹이 지난 12일에 이어 CEO와 그룹 MZ세대 직원들이 함께 유튜브 생중계를 통해 두 번째 'e-소통라이브'를 진행했다. 사진은 19일 열린 'e-소통라이브'에서 윤종규 KB금융그룹 회장(오른쪽)이 직원들과...
281,CEO와 직원들 참여한 KB금융 'e-소통라이브',http://yna.kr/PYH20200821028200013?did=1196m,KB금융그룹이 지난 12일에 이어 CEO와 그룹 MZ세대 직원들이 함께 유튜브 생중계를 통해 두 번째 'e-소통라이브'를 진행했다. 사진은 19일 열린 'e-소통라이브'에서 윤종규 KB금융그룹 회장(오른쪽)이 직원들과...
282,"우리금융, 디노랩 입주 스타트업 대상 ‘금융IT’ 교육 실시",http://www.speconomy.com/news/newsview.php?ncode=1065573424040553,▲ 우리금융그룹은 스타트업 육성 프로그램인 디노랩(Digital Innovation Lab) 입주기업을 대상으로 서울 성수동 통합센터에서 금융IT 교육을 실시했다고 21일 밝혔다. 우리금융그룹은 스타트업 육성 프로그램인 디노랩...
283,"""SPC삼립, 하반기도 B2B 녹록지 않아...목표가↓"" - 하나금융투자",http://www.newspim.com/news/view/20200821000099,"하나금융투자는 SPC삼립에 대한 투자의견을 매수로 유지하되, 목표주가는 7만8000원으로 하향 조정했다. 심은주 하나금융투자 연구원은 21일 ""본업(제빵) 매출액은 전년 동기 대비 4.2% 증가했으나 전 분기 대비 성장률..."
284,"Sh수협은행, 착한금융상품 릴레이 가입 이어간다",http://www.etnews.com/20200820000103,Sh수협은행(행장 이동빈)은 남기찬 부산항만공사 사장이 해양쓰레기 저감활동을 지원하는 공익상품 'Sh해양플라스틱제로(Zero)예·적금'에 가입했다고 20일 밝혔다. 부산항만공사(BPA)는 지난 2019년부터 해양플라스틱...
285,"이베스트투자증권, 최대 연10% 효과 제휴 금융상품 출시",http://news.einfomax.co.kr/news/articleView.html?idxno=4103544,"시럽월렛 이용자 기준, 1인 1계좌에 한해 월 납입금 20만원 이내에서 가입할 수 있다. 가입 기간은 20일부터 오는 31일까지다. syjung@yna.co.kr 본 기사는 인포맥스 금융정보 단말기에서 09시 19분에 서비스된 기사입니다."
286,부동산금융에 2100조 몰려…부동산 펀드·리츠 증가,https://www.nocutnews.co.kr/news/5397730,"부동산 금융에 몰린 돈이 2100조원을 넘어선 것으로 나타났다. 20일 국회 기획재정위원회 정의당 장혜영 의원이 한국은행으로부터 받은 자료에 따르면, 올해 1분기 기준 부동산 금융 익스포저(위험노출액)..."
287,"윤종규 KB금융 회장, 차세대 리더들과 'e-소통라이브' 두번째 시간 가져",http://www.paxetv.com/news/articleView.html?idxno=98546,"지난 19일 KB금융그룹 직원들과 'e-소통라이브' 시간을 가지고 있는 KB금융그룹 윤종규 회장 [사진=KB금융그룹] KB금융그룹은 지난?12일에 이어, 19일?CEO와 그룹?MZ세대 직원들이 함께 유튜브 생중계를 통해 격의 없는..."
288,"신한금융, 두산 자회사 네오플럭스 730억원에 인수",http://www.speconomy.com/news/newsview.php?ncode=1065600985205745,▲신한금융지주회사(회장 조용병)가 ㈜두산과 네오플럭스 주식매매계약(SPA)을 체결했다고 20일 밝혔다. 신한금융지주회사(회장 조용병)가 ㈜두산과 네오플럭스 주식매매계약(SPA)을 체결했다고 20일 밝혔다. 앞서...
